entry_id,pair_id,cost_id,month,entity,counterparty_entity,paying_entity,receiving_entity,entry_type,currency,local_amount,eur_equivalent,source_amount,source_currency,share_pct,allocated_cost,markup_pct,fx_rate_eur_usd,fx_rate_required,description,status,status_reason,data_quality_flag
COST005-US01-BE02-R,COST005-US01-BE02,COST005,2026-02-28,US01,BE02,US01,BE02,RECEIVABLE,USD,6338.72,5815.34,9929.08,USD,0.608,6036.88,0.05,1.09,True,IT support,VALID,recharge generated from validated shared cost,
COST006-US01-BE01-P,COST006-US01-BE01,COST006,2026-03-31,BE01,US01,US01,BE01,PAYABLE,EUR,11090.87,11090.87,16756.3,USD,0.6745,11302.12,0.05,1.07,True,Shared HR platform,VALID,recharge generated from validated shared cost,
COST006-US01-BE01-R,COST006-US01-BE01,COST006,2026-03-31,US01,BE01,US01,BE01,RECEIVABLE,USD,11867.23,11090.87,16756.3,USD,0.6745,11302.12,0.05,1.07,True,Shared HR platform,VALID,recharge generated from validated shared cost,
COST006-US01-BE02-P,COST006-US01-BE02,COST006,2026-03-31,BE02,US01,US01,BE02,PAYABLE,EUR,5352.23,5352.23,16756.3,USD,0.3255,5454.18,0.05,1.07,True,Shared HR platform,VALID,recharge generated from validated shared cost,
COST006-US01-BE02-R,COST006-US01-BE02,COST006,2026-03-31,US01,BE02,US01,BE02,RECEIVABLE,USD,5726.88,5352.23,16756.3,USD,0.3255,5454.18,0.05,1.07,True,Shared HR platform,VALID,recharge generated from validated shared cost,
COST007-US01-BE01-P,COST007-US01-BE01,COST007,2026-01-31,BE01,US01,US01,BE01,PAYABLE,EUR,16277.44,16277.44,27325.78,USD,0.6127,16742.51,0.05,1.08,True,Travel booking platform,VALID,recharge generated from validated shared cost,
COST007-US01-BE01-R,COST007-US01-BE01,COST007,2026-01-31,US01,BE01,US01,BE01,RECEIVABLE,USD,17579.63,16277.44,27325.78,USD,0.6127,16742.51,0.05,1.08,True,Travel booking platform,VALID,recharge generated from validated shared cost,
COST007-US01-BE02-P,COST007-US01-BE02,COST007,2026-01-31,BE02,US01,US01,BE02,PAYABLE,EUR,10289.29,10289.29,27325.78,USD,0.3873,10583.27,0.05,1.08,True,Travel booking platform,VALID,recharge generated from validated shared cost,
COST007-US01-BE02-R,COST007-US01-BE02,COST007,2026-01-31,US01,BE02,US01,BE02,RECEIVABLE,USD,11112.44,10289.29,27325.78,USD,0.3873,10583.27,0.05,1.08,True,Travel booking platform,VALID,recharge generated from validated shared cost,
COST008-BE01-BE02-P,COST008-BE01-BE02,COST008,2026-02-28,BE02,BE01,BE01,BE02,PAYABLE,EUR,7706.55,7706.55,21870.0,EUR,0.3356,7339.57,0.05,1.09,False,Group software licence,VALID,recharge generated from validated shared cost,
COST008-BE01-BE02-R,COST008-BE01-BE02,COST008,2026-02-28,BE01,BE02,BE01,BE02,RECEIVABLE,EUR,7706.55,7706.55,21870.0,EUR,0.3356,7339.57,0.05,1.09,False,Group software licence,VALID,recharge generated from validated shared cost,
COST008-BE01-US01-P,COST008-BE01-US01,COST008,2026-02-28,US01,BE01,BE01,US01,PAYABLE,USD,16630.07,15256.95,21870.0,EUR,0.6644,14530.43,0.05,1.09,True,Group software licence,VALID,recharge generated from validated shared cost,
COST008-BE01-US01-R,COST008-BE01-US01,COST008,2026-02-28,BE01,US01,BE01,US01,RECEIVABLE,EUR,15256.95,15256.95,21870.0,EUR,0.6644,14530.43,0.05,1.09,True,Group software licence,VALID,recharge generated from validated shared cost,
COST009-BE01-BE02-P,COST009-BE01-BE02,COST009,2026-03-31,BE02,BE01,BE01,BE02,PAYABLE,EUR,4444.22,4444.22,7641.44,EUR,0.5539,4232.59,0.05,1.07,False,Treasury fees,VALID,recharge generated from validated shared cost,
COST009-BE01-BE02-R,COST009-BE01-BE02,COST009,2026-03-31,BE01,BE02,BE01,BE02,RECEIVABLE,EUR,4444.22,4444.22,7641.44,EUR,0.5539,4232.59,0.05,1.07,False,Treasury fees,VALID,recharge generated from validated shared cost,
COST009-BE01-US01-P,COST009-BE01-US01,COST009,2026-03-31,US01,BE01,BE01,US01,PAYABLE,USD,3829.84,3579.29,7641.44,EUR,0.4461,3408.85,0.05,1.07,True,Treasury fees,VALID,recharge generated from validated shared cost,
COST009-BE01-US01-R,COST009-BE01-US01,COST009,2026-03-31,BE01,US01,BE01,US01,RECEIVABLE,EUR,3579.29,3579.29,7641.44,EUR,0.4461,3408.85,0.05,1.07,True,Treasury fees,VALID,recharge generated from validated shared cost,
COST010-BE01-BE02-P,COST010-BE01-BE02,COST010,2026-01-31,BE02,BE01,BE01,BE02,PAYABLE,EUR,5537.74,5537.74,12841.59,EUR,0.4107,5274.04,0.05,1.08,False,Office facilities,VALID,recharge generated from validated shared cost,
COST010-BE01-BE02-R,COST010-BE01-BE02,COST010,2026-01-31,BE01,BE02,BE01,BE02,RECEIVABLE,EUR,5537.74,5537.74,12841.59,EUR,0.4107,5274.04,0.05,1.08,False,Office facilities,VALID,recharge generated from validated shared cost,
COST010-BE01-US01-P,COST010-BE01-US01,COST010,2026-01-31,US01,BE01,BE01,US01,PAYABLE,USD,8581.6,7945.93,12841.59,EUR,0.5893,7567.55,0.05,1.08,True,Office facilities,VALID,recharge generated from validated shared cost,
COST010-BE01-US01-R,COST010-BE01-US01,COST010,2026-01-31,BE01,US01,BE01,US01,RECEIVABLE,EUR,7945.93,7945.93,12841.59,EUR,0.5893,7567.55,0.05,1.08,True,Office facilities,VALID,recharge generated from validated shared cost,
